prompt,answer,reasoning
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 63.0 within the provided distribution?
Answer:
",30.0,<answer>30.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 63.0 within the provided distribution?
Answer:
",30.0,<answer>30.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 65.0 within the provided distribution?
Answer:
",30.0,<answer>30.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 65.0 within the provided distribution?
Answer:
",30.0,<answer>30.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 65.0 within the provided distribution?
Answer:
",40.0,<answer>40.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 65.0 within the provided distribution?
Answer:
",30.0,<answer>30.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 65.0 within the provided distribution?
Answer:
",40.0,<answer>40.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 65.0 within the provided distribution?
Answer:
",35.0,<answer>35.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 65.0 within the provided distribution?
Answer:
",40.0,<answer>40.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 65.0 within the provided distribution?
Answer:
",40.0,<answer>40.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 65.0 within the provided distribution?
Answer:
",30.0,<answer>30.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 65.0 within the provided distribution?
Answer:
",40.0,<answer>40.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 68.0 within the provided distribution?
Answer:
",42.0,<answer>42.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 68.0 within the provided distribution?
Answer:
",40.0,<answer>40.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 68.0 within the provided distribution?
Answer:
",41.0,<answer>41.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 68.0 within the provided distribution?
Answer:
",40.0,<answer>40.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 68.0 within the provided distribution?
Answer:
",42.0,<answer>42.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 68.0 within the provided distribution?
Answer:
",40.0,<answer>40.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 68.0 within the provided distribution?
Answer:
",42.0,<answer>42.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 68.0 within the provided distribution?
Answer:
",40.0,<answer>40.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 68.0 within the provided distribution?
Answer:
",40.0,<answer>40.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 68.0 within the provided distribution?
Answer:
",45.0,<answer>45.0</answer>
