prompt,answer,reasoning
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",99,<answer>99</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",105,<answer>105</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",94,<answer>94</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",105,<answer>105</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",85,<answer>85</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",105,<answer>105</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",102,<answer>102</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",99,<answer>99</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",97,<answer>97</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",93,<answer>93</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",97,<answer>97</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",105,<answer>105</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",95,<answer>95</answer>
