prompt,answer,reasoning
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",87,<answer>87</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",90,<answer>90</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",92,<answer>92</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",91,<answer>91</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",90,<answer>90</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",90,<answer>90</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",91,<answer>91</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",90,<answer>90</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",93,<answer>93</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",90,<answer>90</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",92,<answer>92</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",92,<answer>92</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",87,<answer>87</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",93,<answer>93</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",90,<answer>90</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",90,<answer>90</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",89,<answer>89</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",93,<answer>93</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",87,<answer>87</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",92,<answer>92</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",93,<answer>93</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",90,<answer>90</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",92,<answer>92</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",90,<answer>90</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",89,<answer>89</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",92,<answer>92</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",92,<answer>92</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",87,<answer>87</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",89,<answer>89</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",87,<answer>87</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",93,<answer>93</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",88,<answer>88</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",87,<answer>87</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",91,<answer>91</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",89,<answer>89</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",87,<answer>87</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",90,<answer>90</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",89,<answer>89</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",93,<answer>93</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",88,<answer>88</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",89,<answer>89</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",87,<answer>87</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",87,<answer>87</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",92,<answer>92</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",93,<answer>93</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",89,<answer>89</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",89,<answer>89</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",93,<answer>93</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",88,<answer>88</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 100 (Shifts the distribution along the x-axis.)
  Scale: 10 (Controls the spread of the distribution.)
  Skew: -10 (Determines the direction and degree of skewness.)
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",90,<answer>90</answer>
